
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
79.321, , 359.332, 112.207, 1.23042, 0.999993, -2.83524e-07, 5.4718e-05, -0.00368767, , , , , , , , , , , , , 
79.821, , 376.66, 119.95, 1.22834, 0.999989, -4.27328e-07, 5.60768e-05, -0.00468434, , , , , , , , , , , , , 
80.321, , 392.007, 129.712, 1.22643, 0.999984, -5.7483e-07, 5.74356e-05, -0.0056901, , , , , , , , , , , , , 
80.821, , 405.377, 141.496, 1.22469, 0.999978, -7.24628e-07, 5.87944e-05, -0.00669563, , , , , , , , , , , , , 
81.321, , 416.774, 155.307, 1.22313, 0.99997, -8.76135e-07, 6.01531e-05, -0.0076973, , , , , , , , , , , , , 
81.821, , 426.201, 171.149, 1.22177, 0.999962, -1.02907e-06, 6.15117e-05, -0.00869352, , , , , , , , , , , , , 
82.321, , 433.664, 189.025, 1.22062, 0.999953, -1.18326e-06, 6.28704e-05, -0.00968349, , , , , , , , , , , , , 
82.821, , 439.166, 208.94, 1.21968, 0.999943, -1.33859e-06, 6.4229e-05, -0.0106667, , , , , , , , , , , , , 
83.321, , 442.711, 230.896, 1.21896, 0.999932, -1.49493e-06, 6.55875e-05, -0.0116427, , , , , , , , , , , , , 
83.821, , 444.561, 254.893, 1.21846, 0.99992, -1.65218e-06, 6.6946e-05, -0.0126112, , , , , , , , , , , , , 
84.321, , 445.1, 279.522, 1.21816, 0.999915, -1.70881e-06, 6.83046e-05, -0.0130164, , , , , , , , , , , , , 
84.821, , 443.607, 302.255, 1.21808, 0.999922, -1.59097e-06, 6.96635e-05, -0.0124782, , , , , , , , , , , , , 
85.321, , 440.065, 323.039, 1.21827, 0.999933, -1.4044e-06, 7.10223e-05, -0.0115844, , , , , , , , , , , , , 
85.821, , 434.477, 341.87, 1.21875, 0.999944, -1.19117e-06, 7.2381e-05, -0.0105634, , , , , , , , , , , , , 
86.321, , 426.848, 358.744, 1.21954, 0.999955, -9.6725e-07, 7.37396e-05, -0.00950026, , , , , , , , , , , , , 
86.821, , 417.18, 373.656, 1.22065, 0.999964, -7.38746e-07, 7.50981e-05, -0.00842659, , , , , , , , , , , , , 
87.321, , 405.48, 386.602, 1.22209, 0.999973, -5.08066e-07, 7.64566e-05, -0.00735447, , , , , , , , , , , , , 
87.821, , 391.75, 397.578, 1.22387, 0.99998, -2.76206e-07, 7.78149e-05, -0.00628865, , , , , , , , , , , , , 
88.321, , 375.995, 406.579, 1.22599, 0.999986, -4.36399e-08, 7.91731e-05, -0.00523118, , , , , , , , , , , , , 
88.821, , 358.219, 413.601, 1.22848, 0.999991, 1.89358e-07, 8.05312e-05, -0.0041831, , , , , , , , , , , , , 
89.321, , 338.427, 418.64, 1.23133, 0.999995, 4.22585e-07, 8.18893e-05, -0.00314506, , , , , , , , , , , , , 
89.821, , 316.622, 421.691, 1.23455, 0.999998, 6.55863e-07, 8.32473e-05, -0.0021176, , , , , , , , , , , , , 
90.321, , 294.157, 422.779, 1.23811, 0.999999, 8.86555e-07, 8.46051e-05, -0.00111208, , , , , , , , , , , , , 
90.821, , 273.624, 421.866, 1.24171, 1, 1.11835e-06, 8.59626e-05, -0.000111872, , , , , , , , , , , , , 
91.321, , 255.089, 418.953, 1.24514, 1, 1.3504e-06, 8.732e-05, 0.000879541, , , , , , , , , , , , , 
91.821, , 238.559, 414.044, 1.24831, 0.999998, 1.58209e-06, 8.86773e-05, 0.00185979, , , , , , , , , , , , , 
92.321, , 224.036, 407.142, 1.25119, 0.999996, 1.81308e-06, 9.00346e-05, 0.00282773, , , , , , , , , , , , , 
92.821, , 211.524, 398.251, 1.25375, 0.999993, 2.04313e-06, 9.13917e-05, 0.00378269, , , , , , , , , , , , , 
93.321, , 201.027, 387.375, 1.25599, 0.999989, 2.27204e-06, 9.27488e-05, 0.00472418, , , , , , , , , , , , , 
